video_id,publishedAt,channelId,title,description,thumbnails.default.url,channelTitle,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,tags
KQxzRCzikJU,2021-01-28T00:00:00Z,UCgIdvae7D7IiCcHQlbQzrwg,Week 1: Base Plotting Customization in R,Week 1 of Advanced R - Base Plotting Customization tutorial. Link to tutorial - https://jsimkins2.github.io/geog473-673/plot-customization.html.,https://i.ytimg.com/vi/KQxzRCzikJU/default.jpg,Prof Simkins,NA,NA,NA,NA,NA,NA
9MDC12hgOWQ,2021-03-07T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 17: Metaprogramming Big Picture (2021-02-08) (advr04),"Toryn Schafer presents Chapter 17 (""Metaprogramming: Big Picture) from Advanced R by Hadley Wickham on 2021-02-08, to the R4DSCommunity Book Club ...",https://i.ytimg.com/vi/9MDC12hgOWQ/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
4MPsGEPVb6I,2018-07-29T00:00:00Z,UCEHNLIrfyOC_y8qiR7KXJVA,Data Science: R Basics | Introduction to Programming in R,NA,https://i.ytimg.com/vi/4MPsGEPVb6I/default.jpg,Damn! I Love Data,NA,NA,NA,NA,NA,NA
zOjov-2OZ0E,2020-04-22T00:00:00Z,UC8butISFwT-Wl7EV0hUK0BQ,Introduction to Programming and Computer Science - Full Course,"In this course, you will learn basics of computer programming and computer science. The concepts you learn apply to any and all programming languages and ...",https://i.ytimg.com/vi/zOjov-2OZ0E/default.jpg,freeCodeCamp.org,NA,NA,NA,NA,NA,NA
3iSKFCKLUsI,2020-08-07T00:00:00Z,UCgp23vdLNaUitOkCxxVnRrg,Lecture 01: Introduction to R programming,NA,https://i.ytimg.com/vi/3iSKFCKLUsI/default.jpg,IIT Kharagpur July 2018,NA,NA,NA,NA,NA,NA
TncJXz_iHeE,2020-06-17T00:00:00Z,UCWOfmTlbeesYiDJNflqsWQA,SAS Tutorial | PROC SQL Programming Techniques for SAS Users and Programmers,"Structured Query Language (SQL) is a universal language used in data science, data analytics, statistics, data management and other disciplines to access, ...",https://i.ytimg.com/vi/TncJXz_iHeE/default.jpg,SAS Users,NA,NA,NA,NA,NA,NA
ii6xhOzT_HQ,2021-01-17T00:00:00Z,UCCaChdLMTYMxyawR_Qf-kYA,Advanced R Book Club: Chapter 14: R6 (2021-01-04) (advr03),"Megan Stodel continues Chapter 14 (""R6"") from Advanced R by Hadley Wickham on 2021-01-04, to the R4DS Book Club, cohort 3. Join the conversation at ...",https://i.ytimg.com/vi/ii6xhOzT_HQ/default.jpg,R4DS Online Learning Community,NA,NA,NA,NA,NA,NA
YKaea4ezQQE,2012-01-30T00:00:00Z,UCnAdXkr17iQS8YcYl0LhPdw,Advanced Java: Swing (GUI) Programming Part 4 -- GridBagLayout,More courses! Free C++ course: https://www.udemy.com/course/free-learn-c-tutorial-beginners/?referralCode=66F2A2A36BD6D304C9D9 Make a social ...,https://i.ytimg.com/vi/YKaea4ezQQE/default.jpg,Cave of Programming,NA,NA,NA,NA,NA,NA
WOAd7nmyo8Y,2021-04-11T00:00:00Z,UCVp_VhPRDqalF44R0-iQvVQ,🎥 DataCamp -  R Programmer Career Track Review,"Review of R Programmer Creer Track Hello Everyone! ✋ In this video, I will be reviewing the R Programmer Creer Track from @DataCamp I will be reviewing ...",https://i.ytimg.com/vi/WOAd7nmyo8Y/default.jpg,TheMIS Blog,NA,NA,NA,NA,NA,NA
Hzellhh4ANs,2019-10-08T00:00:00Z,UC7lUrUoHqqe5pEP3F66878w,R Programming - Histogram Breaks  and Axis Limits,This video is a tutorial on How the histogram bins work in default R hist function and how can we specify custom vectors to be used as x axis limits.,https://i.ytimg.com/vi/Hzellhh4ANs/default.jpg,Mian A. Shah,NA,NA,NA,NA,NA,NA
X3paOmcrTjQ,2018-12-05T00:00:00Z,UCsvqVGtbbyHaMoevxPAq9Fg,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Enroll for FREE Data Science Course & Get your Completion Certificate: ...,https://i.ytimg.com/vi/X3paOmcrTjQ/default.jpg,Simplilearn,NA,NA,NA,NA,NA,NA
oez6LbpeCnQ,2020-10-14T00:00:00Z,UCQSMR4N7YMS8SEgiV7nhqEQ,Advanced programming day 5(merge sort),tracing of this program with activation record is coming tomorrow. so you have 100% clarity contact 7026911691 for more information about course details. if you ...,https://i.ytimg.com/vi/oez6LbpeCnQ/default.jpg,dheeraj kumar,NA,NA,NA,NA,NA,NA
7klCGid8SHE,2016-11-28T00:00:00Z,UCugcwROAgYkV8WbDy7UKcrg,R Programming Execute R Script,Learn how to Run R Script in R Programming.,https://i.ytimg.com/vi/7klCGid8SHE/default.jpg,DevNami,NA,NA,NA,NA,NA,NA
hb_XAIBzplE,2016-11-08T00:00:00Z,UCk5tiFqPvdjsl7yT4mmokmg,R Programming Tutorial | Creating histogram in Shiny | How to make shiny apps,In this video I've first talked about how you can create a histogram in normal command line interface by giving command one after another for different variables.,https://i.ytimg.com/vi/hb_XAIBzplE/default.jpg,Data Science Tutorials,NA,NA,NA,NA,NA,NA
